,O_Create Offer,O_Created,O_Sent (online only),O_Cancelled,O_Sent (mail and online),O_Returned,O_Accepted,O_Refused
Offer_739070387,1,1,0,1,1,1,1,1
Offer_1185562763,1,1,0,1,1,1,1,1
Offer_860450899,1,1,0,1,1,1,1,1
Offer_659905372,1,1,0,1,1,1,1,1
Offer_213731049,1,1,0,1,1,1,1,1
Offer_1462702200,1,1,0,1,1,1,1,1
Offer_2006568778,1,1,0,1,1,1,1,1
Offer_211747135,1,1,0,1,1,1,1,1
Offer_519819309,1,1,0,1,1,1,1,1
Offer_1312704614,1,1,0,1,1,1,1,1
Offer_871055597,1,1,0,1,1,1,1,1
Offer_681615844,1,1,0,1,1,1,1,1
Offer_656491364,1,1,0,1,1,1,1,1
Offer_306682674,1,1,0,0,1,1,1,0
Offer_210781714,1,1,0,0,1,1,1,0
Offer_138887554,1,1,0,0,1,1,1,0
Offer_1497266486,1,1,0,0,1,1,1,0
Offer_1282018738,1,1,0,0,1,1,1,0
Offer_780795272,1,1,0,1,1,1,1,1
Offer_1572067737,1,1,0,1,1,1,1,1
Offer_513332251,1,1,0,1,1,1,1,1
Offer_290118338,1,1,0,1,1,1,1,1
Offer_859722858,1,1,0,1,1,1,1,1
Offer_1217920740,1,1,0,1,1,1,1,1
Offer_776746829,1,1,0,1,1,1,1,1
Offer_1867716144,1,1,0,1,1,1,1,1
Offer_1573002745,1,1,0,1,1,1,1,1
Offer_2029556784,1,1,0,1,1,1,1,1
Offer_1949442096,1,1,0,1,1,1,1,1
Offer_1570229159,1,1,0,1,1,1,1,1
Offer_1271155187,1,1,0,0,1,1,1,0
Offer_1452285181,1,1,0,0,1,1,1,0
Offer_1651128996,1,1,0,0,1,1,1,0
Offer_1319158006,1,1,0,0,1,1,1,0
Offer_1128644000,1,1,0,0,1,1,1,0
Offer_1576107007,1,1,0,1,1,1,1,1
Offer_2077320317,1,1,0,1,1,1,1,1
Offer_1463749777,1,1,0,1,1,1,1,1
Offer_1636586660,1,1,0,1,1,1,1,1
Offer_747675742,1,1,0,1,1,1,1,1
Offer_927638197,1,1,0,1,1,1,1,1
Offer_1638445832,1,1,0,1,1,1,1,1
Offer_1288618901,1,1,0,1,1,1,1,1
Offer_517746250,1,1,0,0,1,1,1,0
Offer_236427577,1,1,0,0,1,1,1,0
Offer_682110028,1,1,0,0,1,1,1,0
Offer_2083931403,1,1,0,0,1,1,1,0
Offer_1987791929,1,1,0,0,1,1,1,0
Offer_1647881010,1,1,0,0,1,1,1,0
Offer_915189963,1,1,0,0,1,1,1,0
Offer_1656650409,1,1,0,0,1,1,1,0
Offer_1007493744,1,1,0,0,1,1,1,0
Offer_511816523,1,1,0,0,1,1,1,0
Offer_288441629,1,1,0,1,1,1,0,1
Offer_82088369,1,1,0,1,1,1,0,1
Offer_141392347,1,1,0,1,1,1,0,1
Offer_786363811,1,1,0,1,1,1,1,1
Offer_1144381558,1,1,0,1,1,1,1,1
Offer_1574564290,1,1,0,1,1,1,1,1
Offer_2074117120,1,1,0,1,1,1,1,1
Offer_1892957803,1,1,0,0,1,1,1,0
Offer_1290421381,1,1,0,0,1,1,1,0
Offer_1513905864,1,1,0,0,1,1,1,0
Offer_358283318,1,1,0,0,1,1,1,0
Offer_429687222,1,1,0,0,1,1,1,0
Offer_289364079,1,1,0,0,1,1,1,0
Offer_575845027,1,1,0,0,1,1,1,0
Offer_394850673,1,1,0,0,1,1,1,0
Offer_72138522,1,1,0,0,1,1,1,0
Offer_253224262,1,1,0,0,1,1,1,0
Offer_822588443,1,1,0,1,1,1,1,1
Offer_1138597209,1,1,0,1,1,1,1,1
Offer_1201756876,1,1,0,1,1,1,1,1
Offer_1517935463,1,1,0,1,1,1,1,1
Offer_1722242928,1,1,0,0,1,1,1,0
Offer_1398220931,1,1,0,0,1,1,1,0
Offer_329102970,1,1,0,0,1,1,1,0
Offer_323703574,1,1,0,0,1,1,1,0
Offer_1214293885,1,1,0,0,1,1,1,0
Offer_1268820311,1,1,0,0,1,1,1,0
Offer_514594443,1,1,0,0,1,1,1,0
Offer_854462842,1,1,0,0,1,1,1,0
Offer_639398314,1,1,0,0,1,1,1,0
Offer_1233560445,1,1,0,0,1,1,1,0
Offer_1712011776,1,1,0,0,1,1,1,0
Offer_1852407632,1,1,0,0,1,1,1,0
Offer_2090933499,1,1,0,0,1,1,1,0
Offer_935859805,1,1,0,0,1,1,1,0
Offer_289137857,1,1,0,0,1,1,1,0
Offer_638693632,1,1,0,1,1,1,1,1
Offer_1303352074,1,1,0,1,1,1,1,1
Offer_570682907,1,1,0,1,1,1,1,1
Offer_2131508944,1,1,0,1,1,1,1,1
Offer_1813656576,1,1,0,1,1,1,1,1
Offer_2007331102,1,1,0,1,1,1,1,1
Offer_1819459217,1,1,0,1,1,1,1,1
Offer_1595475693,1,1,0,1,1,1,1,1
Offer_1776591059,1,1,0,1,1,1,0,1
Offer_1140904938,1,1,0,1,1,1,0,1
Offer_1363765075,1,1,0,1,1,1,0,1
Offer_1570293951,1,1,0,1,1,1,1,1
Offer_363292271,1,1,0,1,1,1,1,1
Offer_1979612831,1,1,0,1,1,1,1,1
Offer_1891068953,1,1,0,1,1,1,1,1
Offer_1232826230,1,1,0,0,1,1,1,0
Offer_189518960,1,1,0,0,1,1,1,0
Offer_370993101,1,1,0,0,1,1,1,0
Offer_12427732,1,1,0,0,1,1,1,0
Offer_549751874,1,1,0,0,1,1,1,0
Offer_191688588,1,1,0,0,1,1,0,0
Offer_166386211,1,1,0,0,1,1,0,0
Offer_1632821088,1,1,0,0,1,1,0,0
Offer_1409550533,1,1,0,1,1,1,1,1
Offer_916816986,1,1,0,1,1,1,1,1
Offer_693199213,1,1,0,1,1,1,1,1
Offer_1956246854,1,1,0,1,1,1,1,1
Offer_1456773456,1,1,0,0,1,1,1,0
Offer_1140780453,1,1,0,0,1,1,1,0
Offer_169742869,1,1,0,0,1,1,1,0
Offer_550765580,1,1,0,0,1,1,1,0
Offer_193019119,1,1,0,0,1,1,1,0
Offer_913513267,1,1,0,0,1,1,1,0
Offer_690037167,1,1,0,0,1,1,1,0
Offer_1275473738,1,1,0,0,1,1,1,0
Offer_1408783557,1,1,0,0,1,1,1,0
Offer_1455040087,1,1,0,0,1,1,1,0
Offer_692933399,1,1,0,0,1,1,1,0
Offer_1956925417,1,1,0,0,1,1,1,0
Offer_1776282191,1,1,0,0,1,1,1,0
Offer_1891113448,1,1,0,0,1,1,1,0
Offer_2072191482,1,1,0,0,1,1,1,0
Offer_693333617,1,1,0,1,1,1,1,1
Offer_195096923,1,1,0,1,1,1,1,1
Offer_367936110,1,1,0,1,1,1,1,1
Offer_692857984,1,1,0,1,1,1,1,1
Offer_1270120431,1,1,0,0,1,1,1,0
Offer_1594153997,1,1,0,0,1,1,1,0
Offer_1882639895,1,1,0,0,1,1,1,0
Offer_1780347374,1,1,0,0,1,1,1,0
Offer_1982495450,1,1,0,0,1,1,1,0
Offer_1884983504,1,1,0,0,1,1,1,0
Offer_1680535733,1,1,0,0,1,1,1,0
Offer_1238129220,1,1,0,0,1,1,1,0
Offer_1453827080,1,1,0,0,1,1,1,0
Offer_606876377,1,1,0,0,1,1,1,0
Offer_821428928,1,1,0,0,1,1,1,0
Offer_6390600,1,1,0,0,1,1,1,0
Offer_2114047615,1,1,0,0,1,1,1,0
Offer_1612285972,1,1,0,0,1,1,1,0
Offer_915279720,1,1,0,0,1,1,1,0
Offer_565518897,1,1,0,1,1,1,1,1
Offer_468094544,1,1,0,1,1,1,1,1
Offer_253054789,1,1,0,1,1,1,1,1
Offer_517896136,1,1,0,1,1,1,1,1
Offer_1462457804,1,1,0,1,1,1,1,1
Offer_823242569,1,1,0,0,1,1,1,0
Offer_533969936,1,1,0,0,1,1,1,0
Offer_883566100,1,1,0,0,1,1,1,0
Offer_1249935942,1,1,0,0,1,1,1,0
Offer_1600065420,1,1,0,0,1,1,1,0
Offer_633250251,1,1,0,0,1,1,1,0
Offer_856471158,1,1,0,0,1,1,1,0
Offer_135915835,1,1,0,0,1,1,1,0
Offer_493693356,1,1,0,0,1,1,1,0
Offer_1551614814,1,1,0,0,1,1,1,0
Offer_789190623,1,1,0,1,1,1,1,1
Offer_882792332,1,1,0,1,1,1,1,1
Offer_659630981,1,1,0,1,1,1,1,1
Offer_1514762740,1,1,0,1,1,1,1,1
Offer_1291699091,1,1,1,1,1,1,0,1
Offer_1742881111,1,1,1,1,1,1,0,1
Offer_1218843621,1,1,1,1,1,1,0,1
Offer_275638981,1,1,1,1,1,1,0,1
Offer_94456934,1,1,0,0,1,1,1,0
Offer_1588510169,1,1,0,0,1,1,1,0
Offer_1364724660,1,1,0,0,1,1,1,0
Offer_602753079,1,1,0,0,1,1,1,0
Offer_1758510468,1,1,0,0,1,1,1,0
Offer_1846816998,1,1,0,0,1,1,1,0
Offer_2089640789,1,1,0,0,1,1,1,0
Offer_1795302099,1,1,0,0,1,1,1,0
Offer_1872722289,1,1,0,0,1,1,1,0
Offer_2053750576,1,1,0,0,1,1,1,0
Offer_596592747,1,1,0,0,1,1,1,0
Offer_1359156095,1,1,0,0,1,1,1,0
Offer_1312763290,1,1,0,0,1,1,1,0
Offer_81972596,1,1,0,0,1,1,1,0
Offer_1966913011,1,1,0,0,1,1,1,0
Offer_1726748288,1,1,0,1,1,1,1,1
Offer_862248796,1,1,0,1,1,1,1,1
Offer_1043318048,1,1,0,1,1,1,1,1
Offer_1468908520,1,1,0,1,1,1,1,1
Offer_464709031,1,1,0,1,1,1,1,1
Offer_520979602,1,1,0,1,1,1,1,1
Offer_554865166,1,1,0,1,1,1,1,1
Offer_1005523025,1,1,0,1,1,1,1,1
Offer_1186839614,1,1,0,1,1,1,1,1
Offer_519288791,1,1,0,1,1,1,1,1
Offer_203604417,1,1,0,1,1,1,1,1
Offer_112337907,1,1,0,1,1,1,1,1
Offer_428130310,1,1,0,0,1,1,1,0
Offer_1970908420,1,1,0,0,1,1,1,0
Offer_1531004003,1,1,0,0,1,1,1,0
Offer_1173125013,1,1,0,0,1,1,1,0
Offer_128901379,1,1,0,0,1,1,1,0
Offer_352006913,1,1,0,0,1,1,1,0
Offer_233398297,1,1,0,0,1,1,1,0
Offer_1068527082,1,1,0,0,1,1,1,0
Offer_1426680845,1,1,0,0,1,1,1,0
Offer_706407032,1,1,0,0,1,1,1,0
Offer_1285608243,1,1,0,1,1,1,1,1
Offer_1104655788,1,1,0,1,1,1,1,1
Offer_966148922,1,1,0,1,1,1,1,1
Offer_1972063444,1,1,0,1,1,1,1,1
Offer_1790808751,1,1,0,1,1,1,1,1
Offer_1914237031,1,1,0,1,1,1,1,1
Offer_1079059249,1,1,0,1,1,1,1,1
Offer_190374433,1,1,0,1,1,1,1,1
Offer_110325269,1,1,0,1,1,1,1,1
Offer_967199272,1,1,0,1,1,1,1,1
Offer_1264731799,1,1,0,1,1,1,1,1
Offer_1042920402,1,1,0,1,1,1,1,1
Offer_1607617345,1,1,0,1,1,1,1,1
Offer_1789087114,1,1,0,1,1,1,1,1
Offer_1802739122,1,1,0,1,1,1,1,1
Offer_1951069732,1,1,0,1,1,1,1,1
Offer_1609942909,1,1,0,1,1,1,1,1
Offer_1261858652,1,1,0,1,1,1,1,1
Offer_882593404,1,1,0,1,1,1,1,1
Offer_1106136810,1,1,0,1,1,1,1,1
Offer_536954758,1,1,0,1,1,1,1,1
Offer_1047098629,1,1,0,1,1,1,1,1
Offer_1371458877,1,1,0,1,1,1,1,1
Offer_1857625418,1,1,0,1,1,1,1,1
Offer_1474158893,1,1,0,1,1,1,1,1
Offer_1126064152,1,1,0,1,1,1,1,1
Offer_776349166,1,1,0,1,1,1,1,1
Offer_559894249,1,1,0,1,1,1,1,1
Offer_41515501,1,1,0,1,1,1,1,1
Offer_1479255614,1,1,0,1,1,1,1,1
Offer_1424657423,1,1,0,1,1,1,1,1
Offer_1100356516,1,1,0,1,1,1,1,1
Offer_540043589,1,1,0,1,1,1,1,1
Offer_350020900,1,1,0,1,1,1,1,1
Offer_298401496,1,1,0,1,1,1,1,1
Offer_724035293,1,1,0,1,1,1,1,1
Offer_1348716891,1,1,0,1,1,1,1,1
Offer_594571988,1,1,0,1,1,1,1,1
Offer_76294031,1,1,0,1,1,1,1,1
Offer_401109977,1,1,0,1,1,1,1,1
Offer_352841534,1,1,0,1,1,1,1,1
Offer_163557036,1,1,0,1,1,1,1,1
Offer_816368675,1,1,0,1,1,1,1,1
Offer_307559372,1,1,0,1,1,1,1,1
Offer_387226662,1,1,0,1,1,1,1,1
Offer_737245878,1,1,0,1,1,1,1,1
Offer_1390224189,1,1,0,1,1,1,1,1
Offer_1604870735,1,1,0,1,1,1,1,1
Offer_1819520718,1,1,0,1,1,1,1,1
Offer_2036431935,1,1,0,1,1,1,1,1
Offer_743434662,1,1,0,1,1,1,1,1
Offer_317904844,1,1,0,1,1,1,1,1
Offer_667462836,1,1,0,1,1,1,1,1
Offer_1825840394,1,1,0,1,1,1,1,1
Offer_2040622681,1,1,0,1,1,1,1,1
Offer_1570092010,1,1,0,1,1,1,1,1
Offer_1245613809,1,1,0,1,1,1,1,1
Offer_2000916147,1,1,0,1,1,1,1,1
Offer_1468464301,1,1,0,1,1,1,1,1
Offer_1118658251,1,1,0,1,1,1,1,1
Offer_1847351362,1,1,0,1,1,1,1,1
Offer_1497689839,1,1,0,1,1,1,1,1
Offer_35740405,1,1,0,1,1,1,1,1
Offer_622934060,1,1,0,1,1,1,1,1
Offer_180515088,1,1,0,1,1,1,1,1
Offer_2012377160,1,1,0,1,1,1,1,1
Offer_1704612243,1,1,0,1,1,1,1,1
Offer_1380570078,1,1,0,1,1,1,1,1
Offer_757816300,1,1,0,1,1,1,1,1
Offer_407837490,1,1,0,1,1,1,1,1
Offer_41614039,1,1,0,1,1,1,1,1
Offer_1162825397,1,1,0,1,1,1,1,1
Offer_1335581927,1,1,0,1,1,1,1,1
Offer_1525100098,1,1,0,1,1,1,1,1
Offer_405103336,1,1,0,1,1,1,1,1
Offer_812253537,1,1,0,1,1,1,1,1
Offer_882651276,1,1,0,0,1,1,1,0
Offer_1114437379,1,1,0,0,1,1,1,0
Offer_442208740,1,1,0,0,1,1,1,0
Offer_75820544,1,1,0,0,1,1,1,0
Offer_1517038416,1,1,0,0,1,1,1,0
Offer_1841585054,1,1,0,1,1,1,1,1
Offer_1339302196,1,1,0,1,1,1,1,1
Offer_1972623570,1,1,0,1,1,1,1,1
Offer_1496510363,1,1,0,1,1,1,1,1
Offer_1266152625,1,1,0,1,1,1,1,1
Offer_1392182266,1,1,0,1,1,1,1,1
Offer_1751679268,1,1,0,1,1,1,1,1
Offer_1823179775,1,1,0,1,1,1,1,1
Offer_2113774528,1,1,0,0,1,1,1,0
Offer_668797619,1,1,0,0,1,1,1,0
Offer_755709964,1,1,0,0,1,1,1,0
Offer_414620466,1,1,0,0,1,1,1,0
Offer_1269990178,1,1,0,0,1,1,1,0
Offer_1614940239,1,1,0,0,1,1,1,0
Offer_1827942361,1,1,0,0,1,1,1,0
Offer_2110135265,1,1,0,0,1,1,1,0
Offer_1751029929,1,1,0,0,1,1,1,0
Offer_1716842992,1,1,0,0,1,1,1,0
Offer_1249425886,1,1,0,0,1,1,1,0
Offer_634270802,1,1,0,0,1,1,1,0
Offer_317469143,1,1,0,0,1,1,1,0
Offer_1063966371,1,1,0,0,1,1,1,0
Offer_747282848,1,1,0,0,1,1,1,0
Offer_34385001,1,1,0,0,1,1,1,0
Offer_1649565848,1,1,0,0,1,1,1,0
Offer_1713035643,1,1,0,0,1,1,1,0
Offer_2144679296,1,1,0,0,1,1,1,0
Offer_1716231833,1,1,0,0,1,1,1,0
Offer_1536521021,1,1,0,0,1,1,1,0
Offer_1068696081,1,1,0,0,1,1,1,0
Offer_753127631,1,1,0,0,1,1,1,0
Offer_454127323,1,1,0,0,1,1,1,0
Offer_898275233,1,1,0,0,1,1,1,0
Offer_1104076541,1,1,0,0,1,1,1,0
Offer_250602027,1,1,0,0,1,1,1,0
Offer_248316407,1,1,0,0,1,1,1,0
Offer_446712746,1,1,0,0,1,1,1,0
Offer_627787580,1,1,1,1,1,1,0,1
Offer_1331264609,1,1,1,1,1,1,0,1
Offer_1197841364,1,1,1,1,1,1,0,1
Offer_848193840,1,1,1,1,1,1,0,1
Offer_750925156,1,1,0,1,1,1,1,1
Offer_536575558,1,1,0,1,1,1,1,1
Offer_234586136,1,1,0,1,1,1,1,1
Offer_565512670,1,1,0,1,1,1,1,1
Offer_392025212,1,1,0,0,1,1,1,0
Offer_1281534587,1,1,0,0,1,1,1,0
Offer_250640070,1,1,0,0,1,1,1,0
Offer_600375929,1,1,0,0,1,1,1,0
Offer_966826297,1,1,0,0,1,1,1,0
Offer_1682852447,1,1,0,1,1,1,1,1
Offer_1826437266,1,1,0,1,1,1,1,1
Offer_197700156,1,1,0,1,1,1,1,1
Offer_118195200,1,1,0,1,1,1,1,1
Offer_970444940,1,1,0,1,1,1,1,1
Offer_607593385,1,1,0,1,1,1,1,1
Offer_1909231452,1,1,0,1,1,1,1,1
Offer_1892462066,1,1,0,1,1,1,1,1
Offer_1547331750,1,1,0,0,1,1,1,0
Offer_1646116624,1,1,0,0,1,1,1,0
Offer_1330056218,1,1,0,0,1,1,1,0
Offer_1932862079,1,1,0,0,1,1,1,0
Offer_2046064137,1,1,0,0,1,1,1,0
Offer_1774399875,1,1,0,1,1,1,1,1
Offer_877399788,1,1,0,1,1,1,1,1
Offer_1328244386,1,1,0,1,1,1,1,1
Offer_565525831,1,1,0,1,1,1,1,1
Offer_570744495,1,1,0,1,1,1,1,1
Offer_389798091,1,1,0,1,1,1,1,1
Offer_1929601247,1,1,0,1,1,1,1,1
Offer_2049296462,1,1,0,1,1,1,1,1
Offer_1464320830,1,1,0,1,1,1,1,1
Offer_873860583,1,1,0,0,1,1,1,0
Offer_1505641981,1,1,0,0,1,1,1,0
Offer_1197236124,1,1,0,0,1,1,1,0
Offer_838952571,1,1,0,0,1,1,1,0
Offer_1829162121,1,1,0,0,1,1,1,0
Offer_1471005973,1,1,0,1,1,1,1,1
Offer_235403416,1,1,0,1,1,1,1,1
Offer_619948278,1,1,0,1,1,1,1,1
Offer_396384230,1,1,0,1,1,1,1,1
Offer_1290948043,1,1,0,0,1,1,1,0
Offer_963086313,1,1,0,0,1,1,1,0
Offer_1186274216,1,1,0,0,1,1,1,0
Offer_747358554,1,1,0,0,1,1,1,0
Offer_389194212,1,1,0,0,1,1,1,0
Offer_238690222,1,1,0,0,1,1,1,0
Offer_1694789346,1,1,0,0,1,1,1,0
Offer_1471419092,1,1,0,0,1,1,1,0
Offer_1248237408,1,1,0,0,1,1,1,0
Offer_197948123,1,1,0,0,1,1,1,0
Offer_117958080,1,1,0,1,1,1,1,1
Offer_432913061,1,1,0,1,1,1,1,1
Offer_1687831636,1,1,0,1,1,1,1,1
Offer_2045721689,1,1,0,1,1,1,1,1
Offer_1891181690,1,1,0,1,1,1,1,1
Offer_470048680,1,1,0,1,1,1,1,1
Offer_212259875,1,1,0,1,1,1,1,1
Offer_31172689,1,1,0,1,1,1,1,1
Offer_1515319619,1,1,0,1,1,1,1,1
Offer_1831052178,1,1,0,1,1,1,1,1
Offer_1053069371,1,1,0,1,1,1,1,1
Offer_2059065061,1,1,0,1,1,1,1,1
Offer_1896087030,1,1,0,1,1,1,1,1
Offer_1678676939,1,1,0,1,1,1,1,1
Offer_1661098368,1,1,0,1,1,1,1,1
Offer_1479862480,1,1,0,1,1,1,1,1
Offer_2115948768,1,1,0,1,1,1,1,1
Offer_397749616,1,1,0,1,1,1,1,1
Offer_1160255443,1,1,0,1,1,1,1,1
Offer_1096349536,1,1,0,1,1,1,1,1
Offer_433105699,1,1,0,1,1,1,1,1
Offer_1338496752,1,1,0,1,1,1,1,1
Offer_1915747752,1,1,0,1,1,1,1,1
Offer_1115688610,1,1,0,1,1,1,1,1
Offer_975737681,1,1,0,1,1,1,1,1
Offer_1198097768,1,1,0,1,1,1,1,1
Offer_596320085,1,1,0,0,1,1,1,0
Offer_819497873,1,1,0,0,1,1,1,0
Offer_250370808,1,1,0,0,1,1,1,0
Offer_470214026,1,1,0,0,1,1,1,0
Offer_398647223,1,1,0,0,1,1,1,0
Offer_1252737805,1,1,0,0,1,1,1,0
Offer_1764465364,1,1,0,0,1,1,1,0
Offer_1415623292,1,1,0,0,1,1,1,0
Offer_1049067535,1,1,0,0,1,1,1,0
Offer_834092584,1,1,0,0,1,1,1,0
Offer_332189913,1,1,0,0,1,1,1,0
Offer_17406060,1,1,0,0,1,1,1,0
Offer_114516940,1,1,0,0,1,1,1,0
Offer_213772689,1,1,0,0,1,1,1,0
Offer_24169950,1,1,0,0,1,1,1,0
Offer_418067800,1,1,0,1,1,1,1,1
Offer_1050264778,1,1,0,1,1,1,1,1
Offer_1374589759,1,1,0,1,1,1,1,1
Offer_1682414165,1,1,0,1,1,1,1,1
Offer_2130710605,1,1,0,0,1,1,1,0
Offer_331555377,1,1,0,0,1,1,1,0
Offer_656169365,1,1,0,0,1,1,1,0
Offer_114990151,1,1,0,0,1,1,1,0
Offer_74587608,1,1,0,0,1,1,1,0
Offer_561027952,1,1,0,1,1,1,1,1
Offer_1008469320,1,1,0,1,1,1,1,1
Offer_1762432670,1,1,0,1,1,1,1,1
Offer_1099236038,1,1,0,1,1,1,1,1
Offer_1313708678,1,1,0,0,1,1,1,0
Offer_1546712652,1,1,0,0,1,1,1,0
Offer_1761719470,1,1,0,0,1,1,1,0
Offer_1993366194,1,1,0,0,1,1,1,0
Offer_1413619936,1,1,0,0,1,1,1,0
Offer_1586120357,1,1,0,0,1,1,1,0
Offer_832112457,1,1,0,0,1,1,1,0
Offer_42809924,1,1,0,0,1,1,1,0
Offer_306882652,1,1,0,0,1,1,1,0
Offer_1465582309,1,1,0,0,1,1,1,0
Offer_1680163968,1,1,0,1,1,1,1,1
Offer_1389706782,1,1,0,1,1,1,1,1
Offer_1477041866,1,1,0,1,1,1,1,1
Offer_1666281512,1,1,0,1,1,1,1,1
Offer_1856260821,1,1,0,0,1,1,1,0
Offer_1828521443,1,1,0,0,1,1,1,0
Offer_1478903934,1,1,0,0,1,1,1,0
Offer_1859738979,1,1,0,0,1,1,1,0
Offer_397840927,1,1,0,0,1,1,1,0
Offer_1559024712,1,1,1,1,1,1,0,1
Offer_392979081,1,1,1,1,1,1,0,1
Offer_717513169,1,1,1,1,1,1,0,1
Offer_774210695,1,1,1,1,1,1,0,1
Offer_499807586,1,1,0,0,1,1,1,0
Offer_310399480,1,1,0,0,1,1,1,0
Offer_148875966,1,1,0,0,1,1,1,0
Offer_1683906964,1,1,0,0,1,1,1,0
Offer_318390809,1,1,0,0,1,1,1,0
Offer_1776233835,1,1,0,1,1,1,1,1
Offer_2092112544,1,1,0,1,1,1,1,1
Offer_1580737561,1,1,0,1,1,1,1,1
Offer_1473300697,1,1,0,1,1,1,1,1
Offer_1004444125,1,1,0,0,1,1,1,0
