,caseid,activity,ts,resource,outcome
257,Offer_1747811596,O_Created,2016/01/04 18:26:34.262,User_43,True
258,Offer_1747811596,O_Sent (mail and online),2016/01/04 18:30:25.659,User_43,True
259,Offer_1747811596,O_Returned,2016/01/11 17:46:52.570,User_118,True
260,Offer_1747811596,O_Accepted,2016/01/12 22:16:41.624,User_99,True
261,Offer_1078348600,O_Create Offer,2016/01/04 18:27:15.772,User_15,True
262,Offer_1078348600,O_Created,2016/01/04 18:27:17.030,User_15,True
263,Offer_1078348600,O_Sent (mail and online),2016/01/04 18:27:38.360,User_15,True
264,Offer_1078348600,O_Cancelled,2016/02/04 16:00:32.955,User_1,True
265,Offer_1301660092,O_Create Offer,2016/01/04 18:27:32.591,User_89,False
266,Offer_1301660092,O_Created,2016/01/04 18:27:33.995,User_89,False
267,Offer_1301660092,O_Sent (online only),2016/01/04 18:27:56.205,User_89,False
268,Offer_1301660092,O_Cancelled,2016/01/04 18:38:43.055,User_89,False
269,Offer_818647679,O_Create Offer,2016/01/04 18:33:40.864,User_89,False
270,Offer_818647679,O_Created,2016/01/04 18:33:43.362,User_89,False
271,Offer_818647679,O_Sent (mail and online),2016/01/04 18:33:59.363,User_89,False
272,Offer_818647679,O_Returned,2016/01/08 21:38:24.556,User_119,False
273,Offer_818647679,O_Accepted,2016/01/12 19:55:29.363,User_115,False
274,Offer_30985588,O_Create Offer,2016/01/04 18:34:57.319,User_14,True
275,Offer_30985588,O_Created,2016/01/04 18:34:58.969,User_14,True
276,Offer_30985588,O_Sent (mail and online),2016/01/04 18:35:12.005,User_14,True
277,Offer_30985588,O_Returned,2016/01/20 16:28:34.094,User_113,True
278,Offer_30985588,O_Accepted,2016/02/17 22:04:56.638,User_109,True
279,Offer_102669259,O_Create Offer,2016/01/04 18:37:24.634,User_19,True
280,Offer_102669259,O_Created,2016/01/04 18:37:26.166,User_19,True
281,Offer_102669259,O_Sent (mail and online),2016/01/04 18:38:26.322,User_19,True
282,Offer_102669259,O_Returned,2016/01/08 17:28:24.788,User_113,True
283,Offer_102669259,O_Accepted,2016/01/11 23:58:57.023,User_95,True
284,Offer_684486794,O_Create Offer,2016/01/04 18:38:03.507,User_89,False
285,Offer_684486794,O_Created,2016/01/04 18:38:05.262,User_89,False
286,Offer_684486794,O_Sent (mail and online),2016/01/04 18:38:24.028,User_89,False
287,Offer_684486794,O_Cancelled,2016/01/12 19:55:29.394,User_115,False
288,Offer_750441445,O_Create Offer,2016/01/04 18:38:40.094,User_16,True
289,Offer_750441445,O_Created,2016/01/04 18:38:41.945,User_16,True
290,Offer_750441445,O_Sent (mail and online),2016/01/04 18:39:23.293,User_16,True
291,Offer_750441445,O_Cancelled,2016/02/29 16:01:39.317,User_1,True
292,Offer_17122797,O_Create Offer,2016/01/04 18:51:03.301,User_16,False
293,Offer_17122797,O_Created,2016/01/04 18:51:04.375,User_16,False
294,Offer_17122797,O_Sent (mail and online),2016/01/04 18:52:33.748,User_16,False
295,Offer_17122797,O_Cancelled,2016/01/12 19:20:22.065,User_119,False
296,Offer_240332268,O_Create Offer,2016/01/04 19:07:38.160,User_19,True
297,Offer_240332268,O_Created,2016/01/04 19:07:39.774,User_19,True
298,Offer_240332268,O_Sent (mail and online),2016/01/04 19:15:24.159,User_19,True
299,Offer_240332268,O_Returned,2016/01/11 21:39:29.527,User_117,True
300,Offer_240332268,O_Accepted,2016/01/22 16:03:32.127,User_30,True
301,Offer_682031123,O_Create Offer,2016/01/04 19:08:49.265,User_7,True
302,Offer_682031123,O_Created,2016/01/04 19:08:50.577,User_7,True
303,Offer_682031123,O_Sent (mail and online),2016/01/04 19:13:54.689,User_7,True
304,Offer_682031123,O_Returned,2016/01/13 18:50:13.954,User_117,True
305,Offer_682031123,O_Accepted,2016/01/15 20:58:18.773,User_87,True
306,Offer_1088813920,O_Create Offer,2016/01/04 19:23:29.925,User_15,True
307,Offer_1088813920,O_Created,2016/01/04 19:23:31.199,User_15,True
308,Offer_1088813920,O_Sent (mail and online),2016/01/04 19:25:15.401,User_15,True
309,Offer_1088813920,O_Cancelled,2016/02/29 16:01:44.536,User_1,True
310,Offer_782570089,O_Create Offer,2016/01/04 19:36:41.701,User_16,False
311,Offer_782570089,O_Created,2016/01/04 19:36:43.478,User_16,False
312,Offer_782570089,O_Sent (mail and online),2016/01/04 19:37:38.370,User_16,False
313,Offer_782570089,O_Cancelled,2016/02/06 16:12:38.329,User_1,False
314,Offer_480986136,O_Create Offer,2016/01/04 19:54:33.864,User_15,True
315,Offer_480986136,O_Created,2016/01/04 19:54:35.143,User_15,True
316,Offer_480986136,O_Sent (mail and online),2016/01/04 19:54:49.696,User_15,True
317,Offer_480986136,O_Cancelled,2016/01/15 23:54:49.368,User_115,True
318,Offer_864688635,O_Create Offer,2016/01/04 19:54:50.561,User_89,False
319,Offer_864688635,O_Created,2016/01/04 19:54:51.863,User_89,False
320,Offer_864688635,O_Sent (mail and online),2016/01/04 19:58:03.305,User_89,False
321,Offer_864688635,O_Cancelled,2016/02/27 18:54:22.405,User_17,False
322,Offer_1060307614,O_Create Offer,2016/01/04 20:13:27.921,User_16,True
323,Offer_1060307614,O_Created,2016/01/04 20:13:29.712,User_16,True
324,Offer_1060307614,O_Sent (mail and online),2016/01/04 20:14:20.605,User_16,True
325,Offer_1060307614,O_Cancelled,2016/01/15 23:43:48.053,User_119,True
326,Offer_645753135,O_Create Offer,2016/01/04 20:15:38.857,User_15,False
327,Offer_645753135,O_Created,2016/01/04 20:15:40.585,User_15,False
328,Offer_645753135,O_Sent (mail and online),2016/01/04 20:15:54.657,User_15,False
329,Offer_645753135,O_Cancelled,2016/01/14 21:40:03.190,User_115,False
330,Offer_329727374,O_Create Offer,2016/01/04 20:17:45.143,User_38,True
331,Offer_329727374,O_Created,2016/01/04 20:17:46.592,User_38,True
332,Offer_329727374,O_Sent (mail and online),2016/01/04 20:22:16.114,User_38,True
333,Offer_329727374,O_Cancelled,2016/01/15 19:47:08.148,User_115,True
334,Offer_1124029698,O_Create Offer,2016/01/04 20:19:32.987,User_14,True
335,Offer_1124029698,O_Created,2016/01/04 20:19:34.427,User_14,True
336,Offer_1124029698,O_Sent (mail and online),2016/01/04 20:19:48.218,User_14,True
337,Offer_1124029698,O_Cancelled,2016/01/15 17:31:04.469,User_95,True
338,Offer_942936446,O_Create Offer,2016/01/04 20:22:56.751,User_89,True
339,Offer_942936446,O_Created,2016/01/04 20:22:58.048,User_89,True
340,Offer_942936446,O_Sent (mail and online),2016/01/04 20:23:28.409,User_89,True
341,Offer_942936446,O_Cancelled,2016/02/29 16:01:06.450,User_1,True
342,Offer_1520154683,O_Create Offer,2016/01/04 20:25:45.275,User_16,True
343,Offer_1520154683,O_Created,2016/01/04 20:25:46.552,User_16,True
344,Offer_1520154683,O_Sent (mail and online),2016/01/04 20:26:06.476,User_16,True
345,Offer_1520154683,O_Cancelled,2016/01/14 00:25:38.889,User_115,True
346,Offer_1944743744,O_Create Offer,2016/01/04 20:38:21.923,User_28,False
347,Offer_1944743744,O_Created,2016/01/04 20:38:23.327,User_28,False
348,Offer_1944743744,O_Sent (mail and online),2016/01/04 20:43:24.182,User_28,False
349,Offer_1944743744,O_Cancelled,2016/01/14 00:30:46.976,User_115,False
350,Offer_2016468100,O_Create Offer,2016/01/04 20:43:41.530,User_16,True
351,Offer_2016468100,O_Created,2016/01/04 20:43:42.750,User_16,True
352,Offer_2016468100,O_Sent (mail and online),2016/01/04 20:44:34.053,User_16,True
353,Offer_2016468100,O_Cancelled,2016/01/28 17:09:43.812,User_9,True
354,Offer_1583358802,O_Create Offer,2016/01/04 20:46:25.467,User_13,True
355,Offer_1583358802,O_Created,2016/01/04 20:46:26.799,User_13,True
